grid,count
"-1,-8",2
"-1,0",2
"-1,1",1
"-1,10",2
"-1,100",1
"-1,101",5
"-1,103",1
"-1,104",2
"-1,105",1
"-1,110",1
"-1,12",1
"-1,126",1
"-1,128",1
"-1,13",3
"-1,137",1
"-1,14",3
"-1,15",3
"-1,16",2
"-1,18",3
"-1,19",1
"-1,20",2
"-1,21",7
"-1,22",6
"-1,23",3
"-1,24",1
"-1,25",1
"-1,26",4
"-1,27",5
"-1,29",6
"-1,30",3
"-1,31",2
"-1,32",4
"-1,33",5
"-1,34",5
"-1,35",5
"-1,36",1
"-1,37",2
"-1,38",6
"-1,39",3
"-1,40",5
"-1,41",4
"-1,42",8
"-1,43",3
"-1,44",4
"-1,45",5
"-1,46",9
"-1,47",6
"-1,48",17
"-1,49",9
"-1,50",11
"-1,51",11
"-1,52",15
"-1,53",26
"-1,54",28
"-1,55",25
"-1,56",27
"-1,57",31
"-1,58",17
"-1,59",25
"-1,6",1
"-1,60",25
"-1,61",23
"-1,62",25
"-1,63",23
"-1,64",35
"-1,65",36
"-1,66",27
"-1,67",44
"-1,68",31
"-1,69",22
"-1,70",31
"-1,71",38
"-1,72",34
"-1,73",39
"-1,74",35
"-1,75",27
"-1,76",36
"-1,77",25
"-1,78",28
"-1,79",27
"-1,8",2
"-1,80",30
"-1,81",42
"-1,82",29
"-1,83",35
"-1,84",33
"-1,85",25
"-1,86",24
"-1,87",19
"-1,88",26
"-1,89",21
"-1,9",1
"-1,90",19
"-1,91",16
"-1,92",17
"-1,93",14
"-1,94",10
"-1,95",8
"-1,96",1
"-1,97",2
"-1,98",10
"-1,99",4
"-10,0",2
"-10,1",1
"-10,10",1
"-10,100",2
"-10,101",5
"-10,102",2
"-10,103",2
"-10,104",1
"-10,105",2
"-10,106",1
"-10,107",1
"-10,11",1
"-10,131",1
"-10,15",1
"-10,16",1
"-10,20",1
"-10,21",2
"-10,24",2
"-10,26",1
"-10,29",1
"-10,32",3
"-10,33",2
"-10,34",1
"-10,37",2
"-10,38",1
"-10,39",1
"-10,40",2
"-10,41",3
"-10,42",1
"-10,43",2
"-10,44",2
"-10,45",2
"-10,46",1
"-10,47",5
"-10,48",6
"-10,49",2
"-10,5",1
"-10,50",12
"-10,51",7
"-10,52",5
"-10,53",10
"-10,54",8
"-10,55",3
"-10,56",13
"-10,57",7
"-10,58",7
"-10,59",5
"-10,6",1
"-10,60",6
"-10,61",10
"-10,62",9
"-10,63",13
"-10,64",6
"-10,65",6
"-10,66",17
"-10,67",7
"-10,68",4
"-10,69",14
"-10,7",1
"-10,70",13
"-10,71",16
"-10,72",8
"-10,73",14
"-10,74",7
"-10,75",15
"-10,76",15
"-10,77",7
"-10,78",9
"-10,79",14
"-10,80",5
"-10,81",9
"-10,82",7
"-10,83",9
"-10,84",3
"-10,85",16
"-10,86",15
"-10,87",13
"-10,88",6
"-10,89",8
"-10,90",4
"-10,91",12
"-10,92",4
"-10,93",5
"-10,94",11
"-10,95",5
"-10,96",5
"-10,97",5
"-10,98",3
"-10,99",2
"-11,0",1
"-11,10",1
"-11,100",1
"-11,101",2
"-11,102",1
"-11,103",1
"-11,104",1
"-11,16",2
"-11,18",2
"-11,19",1
"-11,21",1
"-11,22",1
"-11,26",1
"-11,27",1
"-11,28",1
"-11,3",1
"-11,31",2
"-11,33",2
"-11,34",3
"-11,36",2
"-11,37",1
"-11,38",2
"-11,39",2
"-11,4",1
"-11,40",2
"-11,41",2
"-11,42",2
"-11,43",3
"-11,44",5
"-11,45",6
"-11,46",5
"-11,47",4
"-11,48",3
"-11,49",5
"-11,50",3
"-11,51",5
"-11,52",5
"-11,53",4
"-11,54",8
"-11,55",6
"-11,56",7
"-11,57",9
"-11,58",9
"-11,59",5
"-11,60",6
"-11,61",9
"-11,62",10
"-11,63",8
"-11,64",9
"-11,65",9
"-11,66",8
"-11,67",6
"-11,68",7
"-11,69",10
"-11,70",13
"-11,71",9
"-11,72",4
"-11,73",9
"-11,74",14
